8564564	Ace Combat 6: Fires of Liberation Platinum Hits
2755149	Ace Combat: Assault Horizon
1208344	Adrenalin Misfits
3622159	Air Conflicts: Secret Wars
2480232	Alice: Madness Returns
9504431	Alpha Protocol
3569099	Alvin and the Chipmunks: Chip Wrecked
3447762	Anarchy Reigns
1184298	Arcania: Gothic 4
9984142	Assassin's Creed Brotherhood
9331591	Assassin's Creed II Platinum Hits
8461915	Assassin's Creed Limited Edition
8438032	Assassin's Creed Platinum Hits
1338007	Assassin's Creed: Brotherhood Collector's Edition
2613542	Assassin's Creed: Revelations
9952004	Attack of the Movies 3-D
9963729	Backyard Sports Sandlot Sluggers
9396833	Band Hero
9927328	Batman: Arkham Asylum Game of the Year Edition
2173065	Batman: Arkham City
3046603	Batman: Arkham City Collector's Edition
3668336	Battlefield 3
2107458	Battlefield 3 Limited Edition
1182175	Battlefield: Bad Company 2 Ultimate Edition
8504353	Beautiful Katamari
2846098	Ben 10 Galactic Racing
9328809	BioShock 2
9739989	BioShock 2 Limited Edition
2953816	BioShock Infinite
3167059	Birds of Steel
3447468	Blackwater
3130065	Blades of Time
8498609	Blazing Angels 2: Secret Missions of WWII
9790751	Blood Bowl
1170735	Blood Stone 007
9406243	Blur
1997066	Body and Brain Connection
3180602	Bodycount
8988018	Bolt
9487067	Borderlands
3433032	Borderlands 2
1431386	Borderlands: Game of the Year Edition
9810374	Brink
7849894	Brothers in Arms: Hell's Highway
2087044	Brunswick Pro Bowling
9262237	Brütal Legend
1617038	Bulletstorm
1493444	CSI: Crime Scene Investigation - Fatal Conspiracy
9589956	CSI: Deadly Intent
3619076	Cabela's Adventure Camp
3455185	Cabela's Big Game Hunter 2012
3455398	Cabela's Big Game Hunter 2012 with Top Shot Elite Gun
3619085	Cabela's Big Game Hunter Hunting Party with Top Shot Sport
1404133	Cabela's Dangerous Hunts 2011
3581907	Cabela's Survival: Shadows of Katmai
3581961	Cabela's Survival: Shadows of Katmai with Top Shot Elite Peripheral
7836737	Call of Duty 2: Game of the Year Edition
8237259	Call of Duty 3: Gold Edition
8770868	Call of Duty 4: Modern Warfare Game of the Year Edition
9902347	Call of Duty: Black Ops
2833031	Call of Duty: Black Ops with First Strike Content Pack
9276473	Call of Duty: Modern Warfare 2
9345559	Call of Duty: Modern Warfare 2 Hardened Edition
2670133	Call of Duty: Modern Warfare 3
2945052	Call of Duty: Modern Warfare 3 Hardened Edition
1013666	Call of Duty: The War Collection
8887644	Call of Duty: World at War
2525293	Call of Juarez: The Cartel
2809529	Captain America: Super Soldier
2284728	Carnival Games: Monkey See, Monkey Do
9515937	Cars Race-O-Rama
3569363	Cartoon Network: Punch Time Explosion XL
1014064	Castlevania: Lords of Shadow
2712876	Catherine
2628429	Child of Eden
8534204	Crash of the Titans
1535718	Create
1563461	Crysis 2
1443131	DJ Hero
1066515	DJ Hero 2
1331217	Dance Central (Downloadable Content Token Card)
1580049	Dance Central
2281794	Dance Dance Revolution
1208486	Dance Masters
1981099	Dance Paradise
2758085	Dark Souls
1142357	DarkStar One: Broken Alliance
3905186	Darksiders II: Limited Edition
1778076	De Blob 2
2541184	Dead Island
9823769	Dead Rising 2
2737083	Dead Rising 2: Off The Record
1475036	Dead Space 2
4715623	Dead to Rights Platinum Hits - Xbox
1208468	Deca Sports Freedom
3425352	Deepak Chopra's Leela
1121373	Def Jam Rapstar
1251132	Deus Ex: Human Revolution
2202037	Deus Ex: Human Revolution Augmented Edition
8649714	Devil May Cry 4
2147483647	Digital Only Bundle
2663112	Dirt 3
9215814	Disney Sing It: High School Musical 3: Senior Year
9189415	Disney Sing It: High School Musical 3: Senior Year with Microphone
2769488	Disney Universe
2173135	Disney/Pixar Cars 2
9749358	Disney/Pixar Toy Story 3
2677215	Divinity II: The Dragon Knight Saga
8802414	Don King Presents Prizefighter
1685052	Dragon Age II
